Comment,Designator,Footprint,LCSC
10µ,C1,otter:C_0603,C19702
0.1µ,"C3,C2,C6",otter:C_0402,C1525
22p,"C5,C4",otter:C_0402,C1555
PWR,D1,LED_SMD:LED_0603_1608Metric,C72043
USB,J1,otter:USB-C 16Pin,
TC,J2,otter:IDC-Header_2x03_P2.54mm_Vertical_center,
PINH,J3,otter:PinHeader_1x06_P2.54mm_Vertical_center,
AO3400A,"Q1,Q2",Package_TO_SOT_SMD:SOT-23,C20917
AO3401A,Q3,Package_TO_SOT_SMD:SOT-23,C15127
5k1,"R1,R2,R4,R5,R3",otter:R_0402,C25905
100k,R6,otter:R_0402,C25741
USBLC6-4,U1,Package_TO_SOT_SMD:SOT-23-6,C84837
CH340G,U2,otter:SOIC-16_3.9x9.9mm_P1.27mm,C14267
12Mhz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
